,Type,Country,Area,Location,Activity,Sex,Age,Fatal,Time,NewDate,NewMonth,NewYear,NewDay,NewAge,NewFatal,NewSpecies
609,Unprovoked,AUSTRALIA,New South Wales,South Narrabeen Beach,Surfing,M,41,N,18h15,2013-10-24,Oct,2013,24,41.0,N,Wobbegong
610,Unprovoked,USA,Hawaii,"Waiehu, Maui",Diving ,M,45,N,15h55,2013-10-23,Oct,2013,23,45.0,N,Reef
611,Unprovoked,USA,Hawaii,"Pila'a Beach, Kaua'i",Surfing,M,25,N,11h00,2013-10-20,Oct,2013,20,25.0,N,Tiger
612,Unprovoked,USA,Florida,Miami Beach,Wading,M,6,N,Late afternoon,2013-10-19,Oct,2013,19,6.0,N,Nurse
613,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Albatros Point, near Jeffrey's Bay",Swimming / snorkeling,M,74,Y,11h30,2013-10-11,Oct,2013,11,74.0,Y,White
614,Unprovoked,AUSTRALIA,Western Australia,"Off Poison Creek, Cape Arid",Diving for Abalone,M,55,N,10h30,2013-10-08,Oct,2013,08,55.0,N,White
615,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,45,N,08h45,2013-10-06,Oct,2013,06,45.0,N,White
616,Unprovoked,USA,Florida,"Destin, Okaloosa County",Wading,M,12,N,15h30,2013-10-10,Oct,2013,10,12.0,N,Bull
617,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,50,N,10h00,2013-09-29,Sep,2013,29,50.0,N,
618,Unprovoked,ISRAEL,Southern District,Ashdod,Diving,M,27,N,11h30,2013-09-29,Sep,2013,29,27.0,N,
619,Unprovoked,USA,Florida,"Panama City, Bay County",Standing,M,7,N,10h30,2013-09-25,Sep,2013,25,7.0,N,
620,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,45,N,13h00,2013-09-21,Sep,2013,21,45.0,N,
621,Unprovoked,USA,Florida,"Carlin Park, Jupiter, Palm Beach County",Surfing,M,,N,Morning,2013-09-21,Sep,2013,21,,N,
622,Unprovoked,USA,Florida,"Casino Beach, Pensacola, Escambia County",Swimming,M,21,N,15h30,2013-09-14,Sep,2013,14,21.0,N,Bull
623,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,F,13,N,13h00,2013-09-12,Sep,2013,12,13.0,N,
625,Provoked,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,M,43,N,16h00,2013-09-07,Sep,2013,07,43.0,N,
626,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",Standing,M,25,N,16h00,2013-09-07,Sep,2013,07,25.0,N,
627,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,17,N,13h00,2013-09-02,Sep,2013,02,17.0,N,
628,Provoked,USA,Florida,Key West Aquarium,,M,3,N,,2013-09-01,Sep,2013,01,3.0,N,Nurse
630,Unprovoked,USA,Florida,"St Augustine Beach, St Johns County",Casting a net,M,9,N,12h00,2013-09-01,Sep,2013,01,9.0,N,
632,Unprovoked,USA,California,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,M,,N,23h00,2013-08-31,Agu,2013,31,,N,Salmon
633,Invalid,USA,California,Catalina Channel,Marathon swimming,F,47,,,2013-08-29,Agu,2013,29,47.0,unknown,
634,Provoked,FRANCE,Bay of Biscay,,Longline fishing for sharks,M,50,N,20h30,2013-08-26,Agu,2013,26,50.0,N,Mako
635,Unprovoked,USA,Florida,"Winterhaven Park,           Ponce Inlet, Volusia County",Boogie boarding,F,11,N,17h00,2013-08-25,Agu,2013,25,11.0,N,
636,Unprovoked,AUSTRALIA,New South Wales,Smiths,Wrangling a shark,M,,N,15h00,2013-08-25,Agu,2013,25,,N,
637,Unprovoked,USA,Hawaii,Pohoiki ,Surfing,M,16,N,13h00,2013-08-18,Agu,2013,18,16.0,N,
638,Unprovoked,USA,California,"Pillar Point, Half-Moon Bay, San Mateo County",Surfing,F,,N,12h40,2013-08-17,Agu,2013,17,,N,White
639,Unprovoked,USA,Hawaii,"Makenat, Maui",Snorkeling,F,20,Y,16h30,2013-08-14,Agu,2013,14,20.0,Y,Tiger
640,Unprovoked,USA,Hawaii,"Ka'a Point, Maui",Kiteboarding,F,19,N,13h55,2013-08-13,Agu,2013,13,19.0,N,
641,Unprovoked,USA,South Carolina,Folly Beach,Surfing,M,10,N,17h30,2013-08-11,Agu,2013,11,10.0,N,Bull
643,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Fishing,M,17,N,15h00,2013-08-05,Agu,2013,05,17.0,N,Bull
644,Unprovoked,USA,Hawaii,"Ulua Beach, Maui",Snorkeling,F,56,N,08h45,2013-07-31,Jul,2013,31,56.0,N,
645,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,32,N,,2013-07-30,Jul,2013,30,32.0,N,
646,Unprovoked,BAHAMAS,Abaco Islands,Scotland Cay,Spearfishing,M,40,N,16h05,2013-07-28,Jul,2013,28,40.0,N,
648,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Surfing,M,18,N,14h10,2013-07-29,Jul,2013,29,18.0,N,Tiger
649,Unprovoked,BAHAMAS,Exuma Islands,Compass Cay,Cleaning fish,M,64,N,16h45,2013-07-28,Jul,2013,28,64.0,N,Nurse
650,Unprovoked,BAHAMAS,Abaco Islands,Grand Cay,Diving,M,50,N,11h15,2013-07-28,Jul,2013,28,50.0,N,
651,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,F,18,Y,13h20,2013-07-22,Jul,2013,22,18.0,Y,
652,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Walking in surf,F,50,N,14h30,2013-07-19,Jul,2013,19,50.0,N,
653,Unprovoked,USA,Florida,"Butler Beach, St Augustine,       St. Johns County",Swimming ,M,teen,N,,,,,,,N,
654,Unprovoked,REUNION,Saint-Paul,Le cimetière marin,Swimming & snorkeling,F,15,Y,14h15,2013-07-15,Jul,2013,15,15.0,Y,
656,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Wading,F,63,N,15h20,2013-07-11,Jul,2013,11,63.0,N,
657,Invalid,SPAIN,Catalonia,"Sant Marti dEmpuries Beach, LEscala",Swimming,M,48,,,2013-07-07,Jul,2013,07,48.0,unknown,
658,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Body surfing,M,29,N,,2013-07-02,Jul,2013,02,29.0,N,
661,Boating,USA,California,"Pacific State , San Mateo County",Kayaking / Fishing,M,,N,15h30,2013-06-25,Jun,2013,25,,N,White
662,Unprovoked,USA,Florida,"Jacksonville, Duval County",Swimming,M,,N,,2013-06-25,Jun,2013,25,,N,Bull
663,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,M,14,N,12h45,2013-06-25,Jun,2013,25,14.0,N,
664,Unprovoked,USA,Hawaii,Kona Coast State Park,Swimming,M,28,N,12h50,2013-06-18,Jun,2013,18,28.0,N,Tiger
665,Unprovoked,USA,Texas,"Surfside Beach, Brazoria County",Swimming,M,15,N,14h45,2013-06-17,Jun,2013,17,15.0,N,
666,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,M,,N,Morning,2013-06-16,Jun,2013,16,,N,
668,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,F,10,N,Afternoon,,,,,10.0,N,
669,Provoked,USA,Florida,"Off Snipe Point, Florida Keys, Monroe County",Fishing for sharks,M,58,N,,2013-06-06,Jun,2013,06,58.0,N,Lemon
670,Unprovoked,AUSTRALIA,New South Wales,Target Beach,Surfing,M,,N,16h00,2013-06-06,Jun,2013,06,,N,
671,Unprovoked,USA,Hawaii,"Halewia, Oahu",Diving,M,32,N,,2013-05-27,May,2013,27,32.0,N,Galapagos
672,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,11,N,Afternoon,2013-05-27,May,2013,27,11.0,N,
674,Provoked,PALESTINIAN TERRITORIES,,Gaza,Fishing,M,30,N,Evening,2013-05-23,May,2013,23,30.0,N,
675,Unprovoked,ECUADOR,Santa Cruz Island,"Playa Brava, Turtle Bay",Surfing,M,29,N,12h00,2014-05-14,May,2014,14,29.0,N,Galapagos
676,Invalid,USA,California,"Tourmaline Surf Park, San Diego County",Surfing,M,42,,,2013-05-08,May,2013,08,42.0,unknown,
677,Unprovoked,REUNION,Saint-Gilles,Brisant Beach,Body boarding,M,36,Y,08h20,2013-05-08,May,2013,08,36.0,Y,Bull
678,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,16,N,11h15,2013-05-04,May,2013,04,16.0,N,Small
679,Provoked,AUSTRALIA,New South Wales,Emerald Beach,Fishing,M,,N,,2013-04-28,Apr,2013,28,,N,
680,Unprovoked,MEXICO,Quintana Roo,"Seagull Beach, Cancun",Swimming,F,34,N,13h40,2013-04-24,Apr,2013,24,34.0,N,Tiger
681,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,Fishing,M,51,N,14h00,2013-04-21,Apr,2013,21,51.0,N,Nurse
682,Unprovoked,USA,Florida,"Near Boynton Beach, Palm Beach County",Playing in the surf,M,9,N,10h30,2013-04-17,Apr,2013,17,9.0,N,
683,Unprovoked,SOUTH AFRICA,Western Cape Province,False Bay,Free diving,M,,N,,2013-04-14,Apr,2013,14,,N,Blue
684,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,N,13h30,2013-04-13,Apr,2013,13,21.0,N,Bull
686,Unprovoked,FRENCH POLYNESIA,Tuamotus,"North Pass, Fakarava",Kite boarding,M,53,N,12h00,2013-04-10,Apr,2013,10,53.0,N,Reef
687,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,50,N,,2013-04-04,Apr,2013,04,50.0,N,
689,Unprovoked,USA,Hawaii,Kaanapali Shores,Surfing,M,58,N,08h30,2013-04-02,Apr,2013,02,58.0,N,
690,Invalid,AUSTRALIA,New South Wales,Terrigal Beach,Surfing,M,47,,,2013-03-31,Mar,2013,31,47.0,unknown,
693,Unprovoked,BAHAMAS,Eleuthera,Savannah Sound,Fly fishing,M,50,N,,2013-03-21,Mar,2013,21,50.0,N,
694,Provoked,SOUTH AFRICA,Western Cape Province,De Mond,Fishing - 'tag & release',M,30,N,09h00,2013-03-16,Mar,2013,16,30.0,N,Raggedtooth
696,Unprovoked,JAMAICA,St. Catherine,Pillikin Red Light area ,Spearfishing,M,68,Y,09h00,2013-03-12,Mar,2013,12,68.0,Y,Tiger
697,Unprovoked,AUSTRALIA,Western Australia,African Reef off Geraldton,Spearfishing,M,28,N,09h00,2013-03-10,Mar,2013,10,28.0,N,Whaler
698,Unprovoked,PHILIPPINES,Palawan,Off Likas Island,Swimming to shore with floatioon devices after boat engine conked out,M,28 & 26,N,,2013-03-10,Mar,2013,10,,N,Small
699,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Swimming,M,39,N,,2013-03-03,Mar,2013,03,39.0,N,
700,Unprovoked,NEW ZEALAND,North Island,Muriwai,Swimming,M,46,Y,13h24,2013-02-27,Feb,2013,27,46.0,Y,White
702,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Surfing,M,,N,18h00,2013-02-21,Feb,2013,21,,N,Reef
703,Unprovoked,USA,Florida,"""Stuart Rocks"", Martin County",Surfing,M,16,N,14h00,2013-02-10,Feb,2013,10,16.0,N,Blacktip
704,Unprovoked,FRENCH POLYNESIA,Society Islands,"Tapu, a dive site on the outer reefs of Bora Bora",Scuba diving,M,48,N,09h00 - 09h30,2013-02-09,Feb,2013,09,48.0,N,Lemon
706,Boat,AUSTRALIA,Victoria,Cape Nelson,Fishing,M,,N,,2013-01-26,Jan,2013,26,,N,White
709,Unprovoked,USA,Hawaii,Kiholo Bay,Surfing,M,43,N,16h30,2013-01-16,Jan,2013,16,43.0,N,Tiger
710,Unprovoked,NEW ZEALAND,Mercury Islands,Great Mercury Island,Spearfishing,M,,N,,2013-01-13,Jan,2013,13,,N,Whaler
711,Unprovoked,AUSTRALIA,Western Australia,Near Legendre Island,Spearfishing / Free diving,M,26,N,10h00,2013-01-05,Jan,2013,05,26.0,N,
712,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,,N,14h00,2012-12-31,Dec,2012,31,,N,
713,Unprovoked,AUSTRALIA,New South Wales,Between Dee Why and Long Reef,Surfing,M,23,N,12h45,2012-12-30,Dec,2012,30,23.0,N,
714,Unprovoked,AUSTRALIA,New South Wales,"Kylie's Beach, Diamond Head",Paddle boarding,M,29,N,10h45,2012-12-28,Dec,2012,28,29.0,N,Bull
715,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Swimming,M,20,Y,,2012-12-25,Dec,2012,25,20.0,Y,Tiger
716,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,Surfing,M,32,N,0830,2012-12-19,Dec,2012,19,32.0,N,Tiger
717,Unprovoked,USA,Hawaii,Kauai,Surfing,M,60,N,13h20,2012-12-05,Dec,2012,05,60.0,N,
718,Unprovoked,AUSTRALIA,New South Wales,Green Island,Spearfishing,M,31,N,16h45,2012-12-02,Dec,2012,02,31.0,N,Sandtiger
719,Unprovoked,NEW ZEALAND,South Island,"Sunday Cove, Fiordland",Scuba diving,F,25,N,,2012-12-01,Dec,2012,01,25.0,N,Gill
720,Unprovoked,USA,Hawaii,"Kihei, Maui",Snorkeling,M,61,N,09h40,2012-11-30,Nov,2012,30,61.0,N,Tiger
722,Unprovoked,MEXICO,Sinaloa,Nuevo Altata,Swimming,M,32,Y,11h40,2012-11-22,Nov,2012,22,32.0,Y,
723,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,14,N,17h30,2012-11-19,Nov,2012,19,14.0,N,
724,Unprovoked,USA,Hawaii,"Makena Landing, Maui",Diving,M,30,N,08h30,2012-11-04,Nov,2012,04,30.0,N,Tiger
725,Unprovoked,USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,M,43,N,08h10,2012-11-04,Nov,2012,04,43.0,N,Tiger
726,Unprovoked,USA,California,"Humboldt Bay, Eureka, Humboldt County",Surfing,M,25,N,12h00,2012-10-30,Oct,2012,30,25.0,N,White
727,Unprovoked,USA,Hawaii,"Makena Landing, Maui",Swimming,F,51,N,15h56,2012-10-27,Oct,2012,27,51.0,N,Tiger
728,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,39,Y,11h00,2012-10-23,Oct,2012,23,39.0,Y,White
730,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,24,N,10h30,2012-10-18,Oct,2012,18,24.0,N,
731,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",Paddle boarding,M,55,N,07h30,2012-10-18,Oct,2012,18,55.0,N,
733,Unprovoked,NIGERIA,Delta,Oboro,Bathing,F,38,N,,,,,,38.0,N,
734,Unprovoked,USA,California,"Davenport Landing, Santa Cruz County",Windsurfing,M,42,N,18h30,2012-10-10,Oct,2012,10,42.0,N,
735,Unprovoked,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Bodyboarding,M,11,N,12h00,2012-10-02,Oct,2012,02,11.0,N,
736,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,21,N,16h30,2012-09-25,Sep,2012,25,21.0,N,
737,Unprovoked,USA,Florida,"Spanish House Beach, Brevard County",Surfing,M,22,N,Afternoon,2012-09-24,Sep,2012,24,22.0,N,
738,Unprovoked,USA,Florida," Cocoa Beach, Brevard  County",Surfing,M,52,N,15h00,2012-09-16,Sep,2012,16,52.0,N,
739,Unprovoked,TONGA,Vava'u,Eueiki Island,Swimming,F,29,N,,2012-09-10,Sep,2012,10,29.0,N,Bull
740,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,unknown,19,N,14h20,2012-09-09,Sep,2012,09,19.0,N,
741,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Surfing,M,25,N,12h00,2012-09-08,Sep,2012,08,25.0,N,
742,Unprovoked,USA,Florida,"South Beach, Miami-Dade County",Swimming,M,,N,Afternoon,2012-09-08,Sep,2012,08,,N,
743,Unprovoked,USA,Florida,"Neptune Beach, Duval County",Surfing,M,30s,N,Just before noon,2012-09-06,Sep,2012,06,,N,
744,Unprovoked,USA,Florida,"St. Augustine Beach, St. John's County",Surfing,M,37,N,11h30,2012-09-06,Sep,2012,06,37.0,N,
745,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,32,N,07h56,2012-09-04,Sep,2012,04,32.0,N,
746,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,F,8,N,18h30,2012-09-02,Sep,2012,02,8.0,N,
747,Provoked,USA,Hawaii,"Spreckelsville, Maui",Spearfishing,unknown,,N,12h00,2012-09-02,Sep,2012,02,,N,Tiger
748,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming or boogie boarding,F,56,N,16h30,2012-09-02,Sep,2012,02,56.0,N,
749,Provoked,SCOTLAND,Inner Hebrides,Off the Isle of Islay,Shark fishing,M,53,N,,2012-08-31,Agu,2012,31,53.0,N,Porbeagle
750,Unprovoked,AUSTRALIA,Western Australia,Red Bluff near Quobba Station,Surfing,M,34,N,15h30,2012-08-28,Agu,2012,28,34.0,N,
751,Unprovoked,BRAZIL,Pernambuco,"Coral Cove, Cabo de Santo Agostinho",Swimming,M,18,Y,Afternoon,2012-08-26,Agu,2012,26,18.0,Y,
752,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Wading or swimming,M,31,N,,2012-08-15,Agu,2012,15,31.0,N,
753,Boating,AUSTRALIA,Western Australia,Ocean Reef,Fishing,unknown,,N,12h00,2012-08-11,Agu,2012,11,,N,
754,Unprovoked,USA,Florida,Key Largo,Free diving ,M,56,N,1600,2012-08-08,Agu,2012,08,56.0,N,Lemon
755,Unprovoked,REUNION,Saint Leu,,Surfing,M,39,N,17h17,2012-08-06,Agu,2012,06,39.0,N,Bull
756,Unprovoked,FRENCH POLYNESIA,Tuamotus,Kaukura Atoll,Spearfishing,M,,N,,2012-08-04,Agu,2012,04,,N,Lemon
757,Unprovoked,USA,California,"Topanga Beach, Los Angeles County",Surfing,M,17,N,06h45,2012-07-31,Jul,2012,31,17.0,N,
758,Unprovoked,AUSTRALIA,South Australia,Streaky Bay,Surfing,M,48,N,14h40,2012-07-31,Jul,2012,31,48.0,N,White
759,Unprovoked,USA,Hawaii,"Mahaulepu Beach, Kauai",Surfing,M,44,N,16h35,2012-07-30,Jul,2012,30,44.0,N,
760,Unprovoked,USA,Massachusetts,"Ballston Beach, Truro, Cape Cod",Body surfing,M,50,N,15h30,2012-07-30,Jul,2012,30,50.0,N,White
761,Invalid,USA,North Carolina,"Ocean Isle, Brunswick County",,M,12,,11h45,2012-07-24,Jul,2012,24,12.0,unknown,
762,Unprovoked,REUNION,Trois-Bassins,,Surfing,M,22,Y,16h30,2012-07-23,Jul,2012,23,22.0,Y,
764,Invalid,CANADA,British Colombia,"Tofino, Vancouver",Surfing,F,23,,,2012-07-19,Jul,2012,19,23.0,unknown,Salmon
765,Unprovoked,AUSTRALIA,Western Australia,Off Wedge Island,Surfing,M,24,Y,09h05,2012-07-14,Jul,2012,14,24.0,Y,White
766,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Swimming,F,43,N,17h30,2012-07-08,Jul,2012,08,43.0,N,
768,Invalid,AUSTRALIA,Victoria,Ship's Graveyard off Point Lonsdale,Scuba diving,F,42,,15h00,2012-07-07,Jul,2012,07,42.0,unknown,
769,Boating,USA,California,"Pleasure Point, Santa Cruz County",Kayaking,M,52,N,08h30,2012-07-07,Jul,2012,07,52.0,N,
770,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sandstrand, Jongensfontein",Surfing,M,29,N,16h30,2012-07-06,Jul,2012,06,29.0,N,
772,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Swimming,M,6,N,19h00,2012-06-26,Jun,2012,26,6.0,N,Bull
773,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,26,N,15h00,2012-06-26,Jun,2012,26,26.0,N,
774,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",Sitting in the water,F,16,N,09h45,2012-06-26,Jun,2012,26,16.0,N,Reef
776,Unprovoked,USA,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,M,12,N,16h30,2012-06-22,Jun,2012,22,12.0,N,
777,Unprovoked,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Surf skiing ,M,62,N,07h15,2012-06-20,Jun,2012,20,62.0,N,
778,Invalid,USA,South Carolina,"Myrtle Beach, Horry County",Standing,M,16,,,2012-06-19,Jun,2012,19,16.0,unknown,
779,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Wading,F,6,N,11h00,2012-06-18,Jun,2012,18,6.0,N,
780,Provoked,USA,Florida,"Summerland Key, Monroe County",Fishing,M,23,N,14h20,2012-06-15,Jun,2012,15,23.0,N,Nurse
781,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,F,18,N,Afternoon,2012-06-14,Jun,2012,14,18.0,N,Blacktip
782,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,,N,Afternoon,2012-06-14,Jun,2012,14,,N,
783,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,,N,Afternoon,2012-06-14,Jun,2012,14,,N,Blacktip
784,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,16,N,13h20,2012-06-14,Jun,2012,14,16.0,N,Blacktip
785,Unprovoked,AUSTRALIA,Victoria,Port Campbell,Surfing,M,42,N,Morning,2012-06-12,Jun,2012,12,42.0,N,
786,Provoked,ITALY,Sardinia,Muravera,Attempting to rescue an injured & beached shark,M,57,2017,Morning,2012-06-10,Jun,2012,10,57.0,unknown,Blue
787,Unprovoked,AUSTRALIA,New South Wales,"Redhead Beach, Newcastle",Surf skiing ,M,30,N,14h30,2012-06-03,Jun,2012,03,30.0,N,White
788,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Surfing,F,12,N,,2012-06-02,Jun,2012,02,12.0,N,
789,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,M,25,N,19h45,2012-06-02,Jun,2012,02,25.0,N,
790,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Wading,F,33,N,13h30,2012-05-31,May,2012,31,33.0,N,
791,Unprovoked,MEXICO,Guerrero," Boca de la Leña, La Unión",Free diving / spearfishing,M,46,N,09h00,2012-05-29,May,2012,29,46.0,N,Bull
792,Unprovoked,USA,Florida,"Jacksonville, Duval County",Surfing,M,22,N,15h00,2012-05-23,May,2012,23,22.0,N,
793,Boating,USA,Hawaii,"Iroquiois Point, Oahu",Kayak Fishing,M,,N,Morning,2012-05-20,May,2012,20,,N,Tiger
795,Boating,USA,California,"Leffingwell Landing, Cambria,  San Luis Obispo County",Kayaking / Fishing,M,30,N,14h30,2012-05-12,May,2012,12,30.0,N,White
796,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,47,N,11h30,2012-05-09,May,2012,09,47.0,N,
797,Unprovoked,USA,California,Off Catalina Island,Paddle boarding,F,15,N,07h20,2012-05-06,May,2012,06,15.0,N,White
798,Unprovoked,USA,Florida,"Indialantic, Brevard County",Surfing,M,28,N,19h28,2012-04-19,Apr,2012,19,28.0,N,
799,Unprovoked,SOUTH AFRICA,Western Cape Province,Caves near Kogel Bay,Body boarding,M,20,Y,12h30,2012-04-19,Apr,2012,19,20.0,Y,White
800,Boating,AUSTRALIA,South Australia,"Dolphin Bay, Innes National Park",Kayaking,M,27,N,,2012-04-11,Apr,2012,11,27.0,N,White
801,Unprovoked,USA,Hawaii,"Leftovers near Chun's Reef, Oahu",Surfing,M,28,N,12h38,2012-04-03,Apr,2012,03,28.0,N,Tiger
803,Unprovoked,AUSTRALIA,Western Australia,Stratham Beach,Scuba diving,M,33,Y,09h30,2012-03-31,Mar,2012,31,33.0,Y,White
804,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,N,14h00,2012-03-24,Mar,2012,24,21.0,N,
805,Boating,AUSTRALIA,Western Australia,Kalbarri,Crayfishing,unknown,,N,05h50,2012-03-22,Mar,2012,22,,N,White
806,Unprovoked,AUSTRALIA,Queensland,Nobby's Beach,Surfing,M,20,N,17h00,2012-03-20,Mar,2012,20,20.0,N,Bull
807,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Surfing,M,61,N,15h50,2012-03-15,Mar,2012,15,61.0,N,Bull
808,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,15,N,16h00,2012-03-14,Mar,2012,14,15.0,N,
809,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,N,16h05,2012-03-14,Mar,2012,14,17.0,N,
810,Unprovoked,NEW ZEALAND,North Island,"Opunake, Taranake",Surfing,M,,N,19h00,2012-03-06,Mar,2012,06,,N,
811,Provoked,AUSTRALIA,Victoria,"Shipwreck Cove, Melbourne Aquarium","Diving, feeding sharks",F,34,N,11h30,2012-03-06,Mar,2012,06,34.0,N,Nurse
812,Unprovoked,REUNION,Saint-Benoit,Port de la Marine,Body boarding,M,31,N,14h30,2012-03-05,Mar,2012,05,31.0,N,
813,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Kite Surfing,M,19,N,13h00,2012-03-04,Mar,2012,04,19.0,N,
816,Provoked,USA,Florida,"Palm Beach Inlet, Palm Beach County",Kite Surfing,M,,N,14h00,2012-02-26,Feb,2012,26,,N,Spinner
817,Unprovoked,AUSTRALIA,New South Wales,Broughton Island,Fishing,M,,N,16h00,2012-02-25,Feb,2012,25,,N,Nurse
819,Unprovoked,AUSTRALIA,Queensland,Wurtulla,Surfing,M,29,N,12h00,2012-02-06,Feb,2012,06,29.0,N,
820,Unprovoked,USA,Hawaii,Lanai,Snorkeling,unknown,,N,11h05,2012-01-27,Jan,2012,27,,N,
821,Unprovoked,AUSTRALIA,Western Australia,Coral Bay,Snorkeling,M,26,N,Afternoon,2012-01-19,Jan,2012,19,26.0,N,Tiger
823,Provoked,TAIWAN,Taitung ,Taimali,Fishing,M,24,N,,2012-01-18,Jan,2012,18,24.0,N,Blue
824,Unprovoked,AUSTRALIA,New South Wales,Redhead Beach,Surfing,M,44,N,16h45,2012-01-18,Jan,2012,18,44.0,N,White
825,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,M,25,Y,15h40,2012-01-15,Jan,2012,15,25.0,Y,Bull
826,Unprovoked,USA,Oregon,"Lincoln City, Lincoln County",Surfing,M,53,N,,2012-01-13,Jan,2012,13,53.0,N,White
827,Unprovoked,AUSTRALIA,New South Wales,North Avoca Beach,Surfing,M,28,N,20h00,2012-01-03,Jan,2012,03,28.0,N,
828,Unprovoked,AUSTRALIA,Queensland,Duranbah,Spearfishing,M,34,N,09h00,2012-01-02,Jan,2012,02,34.0,N,Tiger
830,Invalid,ANTIGUA,St John's,Fort James Beach,Swimming,M,,,Early morning,,,,,,unknown,
831,Unprovoked,ECUADOR,Santa Elena,Barandúa Beach,Surfing,M,23,N,18h00,2011-12-25,Dec,2011,25,23.0,N,
832,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,27,N,12h30,2011-12-23,Dec,2011,23,27.0,N,
833,Provoked,USA,Hawaii,"Makahuena Point, Kauai",Canoeing,M,,N,,2011-12-21,Dec,2011,21,,N,
